City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint-Philippe,75,CA,1561677105,42,45.36,-73.48,82.4,14.99
Constitucion,75,MX,1561677106,17,23.99,-104.67,82.4,11.41
Coquimbo,75,CL,1561677106,76,-29.95,-71.34,53.6,6.93
Stavyshche,0,UA,1561677106,84,50.78,28.48,56.18,12.06
Khatanga,67,RU,1561677106,63,71.98,102.47,61.47,4.59
Carnarvon,0,ZA,1561677107,28,-30.97,22.13,46.31,14.85
Tabou,77,CI,1561677107,89,4.42,-7.36,74.86,5.39
Albany,40,US,1561677107,37,42.65,-73.75,82.99,12.75
Zhigansk,95,RU,1561677108,61,66.77,123.37,68.67,13.38
Souillac,0,FR,1561677108,65,45.6,-0.6,82.4,5.82
Thanh Hoa,40,VN,1561677108,100,10.21,106.33,78.8,2.24
Celestun,38,MX,1561676986,80,20.87,-90.4,82.64,28.3
College,90,US,1561677109,37,64.86,-147.8,78.8,2.08
Vanavara,13,RU,1561677109,49,60.35,102.28,71.03,3.96
Sioux Lookout,75,CA,1561677110,38,50.1,-91.92,80.6,11.41
Bredasdorp,45,ZA,1561677110,54,-34.53,20.04,55.4,4.7
Jamestown,0,AU,1561677110,61,-33.21,138.6,61.61,16.71
Hermanus,83,ZA,1561677111,93,-34.42,19.24,52.0,13.0
Bluff,47,AU,1561677111,66,-23.58,149.07,66.33,22.91
Chuy,61,UY,1561677111,70,-33.69,-53.46,51.79,11.25
Te Anau,37,NZ,1561677112,77,-45.41,167.72,45.76,4.45
Victoria,90,BN,1561677112,83,5.28,115.24,80.6,13.11
Kapaa,75,US,1561677058,70,22.08,-159.32,84.2,20.8
Mitsamiouli,11,KM,1561677113,80,-11.38,43.28,77.54,19.82
Marsh Harbour,62,BS,1561677113,68,26.54,-77.06,83.99,9.51
Alta Floresta,0,BR,1561677113,58,-9.87,-56.08,75.08,3.06
Norman Wells,75,CA,1561677113,26,65.28,-126.83,71.6,8.05
Cape Town,75,ZA,1561676939,93,-33.93,18.42,57.99,18.34
Semey,55,KZ,1561677114,76,50.41,80.25,64.48,11.45
Barrow,100,AR,1561677114,58,-38.31,-60.23,48.94,17.69
Castro,0,CL,1561677115,83,-42.48,-73.76,37.4,8.05
Nome,1,US,1561677115,78,30.04,-94.42,87.01,5.82
Warrington,0,GB,1561677115,72,53.39,-2.59,61.0,6.93
Leningradskiy,91,RU,1561677116,91,69.38,178.42,37.75,6.4
Severo-Kurilsk,100,RU,1561677116,88,50.68,156.12,41.99,9.82
Sao Jose da Coroa Grande,4,BR,1561677116,92,-8.9,-35.15,70.58,4.59
Sao Filipe,0,CV,1561677117,86,14.9,-24.5,73.84,21.85
La Ronge,75,CA,1561677117,60,55.1,-105.3,68.0,6.93
New Norfolk,75,AU,1561677117,66,-42.78,147.06,57.0,9.17
Bosaso,58,SO,1561677117,56,11.28,49.18,90.7,15.46
Harper,1,US,1561677118,45,30.3,-99.24,87.01,14.99
Lady Frere,0,ZA,1561677118,51,-31.7,27.23,49.91,7.14
Avarua,98,CK,1561677118,83,-21.21,-159.78,71.6,10.29
Yarada,91,IN,1561677119,76,17.65,83.27,84.46,13.04
Alto Araguaia,0,BR,1561677119,55,-17.32,-53.22,68.36,4.07
Upernavik,54,GL,1561677119,83,72.79,-56.15,33.21,6.51
Puerto Madryn,40,AR,1561677119,81,-42.77,-65.04,42.8,16.11
Hilo,90,US,1561677120,74,19.71,-155.08,82.99,6.93
Fortuna,20,US,1561677120,72,40.6,-124.16,62.6,11.41
Kholodnyy,100,RU,1561677120,54,62.72,147.95,52.42,9.91
Haines Junction,83,CA,1561677121,35,60.75,-137.51,66.78,2.51
Deputatskiy,0,RU,1561677121,24,69.3,139.9,67.55,5.37
Lebu,40,ET,1561677121,93,8.96,38.73,57.2,0.94
Mirnyy,100,RU,1561677122,99,56.57,36.46,56.38,0.56
Flinders,20,AU,1561677122,100,-34.58,150.85,62.01,10.29
Ribeira Grande,38,PT,1561677122,73,38.52,-28.7,63.88,12.01
Kaitangata,42,NZ,1561677122,61,-46.28,169.85,46.0,8.99
Ostrovnoy,100,RU,1561677123,97,68.05,39.51,39.44,14.58
Colares,0,PT,1561677123,82,38.8,-9.45,66.2,10.29
Liwale,0,TZ,1561677123,69,-9.8,37.92,58.41,5.14
Unity,49,CA,1561677124,65,52.44,-109.15,72.0,3.0
Esperance,90,AU,1561677124,93,-33.86,121.89,42.8,17.22
Cidreira,0,BR,1561677124,88,-30.17,-50.22,60.55,12.1
Paka,96,CF,1561677125,96,4.15,15.03,68.0,1.83
Nuuk,20,GL,1561676826,76,64.17,-51.74,48.2,9.17
Dinguiraye,100,GN,1561677125,87,11.29,-10.71,70.94,10.29
Zeya,78,RU,1561677126,37,53.74,127.27,73.33,1.92
Moscow,75,RU,1561676528,93,55.75,37.62,59.0,8.95
Hambantota,100,LK,1561677126,77,6.12,81.12,82.4,19.01
Lasa,75,CY,1561677126,88,34.92,32.53,75.2,6.93
Calama,0,CL,1561677127,17,-22.46,-68.93,62.6,17.22
Kloulklubed,75,PW,1561677127,78,7.04,134.26,82.4,11.41
Aklavik,40,CA,1561677128,38,68.22,-135.01,60.8,4.7
Mezhdurechensk,3,RU,1561677128,79,53.69,88.07,63.41,1.7
Okhotsk,5,RU,1561677128,37,59.36,143.24,71.15,19.08
Dikson,84,RU,1561677129,96,73.51,80.55,33.8,4.74
Makubetsu,100,JP,1561677129,87,42.84,143.34,54.27,5.41
Kaeo,28,NZ,1561677129,85,-35.1,173.78,57.0,5.99
Velasco Ibarra,40,EC,1561677129,85,-1.04,-79.64,73.33,3.71
Adre,100,TD,1561677130,56,13.47,22.2,78.91,4.16
Atuona,0,PF,1561677130,74,-9.8,-139.03,80.84,13.35
Iquique,75,CL,1561676927,72,-20.22,-70.14,62.6,12.75
Ambulu,8,ID,1561677131,87,-8.35,113.61,70.2,5.91
Klaksvik,90,FO,1561677131,100,62.23,-6.59,50.0,13.87
Bhinmal,43,IN,1561677132,70,25.01,72.27,85.05,16.98
Torbay,90,CA,1561677132,93,47.66,-52.73,55.0,3.36
Elvas,0,PT,1561677132,81,38.88,-7.16,59.36,9.35
Alpena,20,US,1561677133,31,45.06,-83.43,87.8,6.93
East London,0,ZA,1561677133,25,-33.02,27.91,63.23,7.18
Chokurdakh,0,RU,1561677133,38,70.62,147.9,60.5,11.34
San Patricio,32,PY,1561677134,88,-26.98,-56.83,65.3,9.1
Airai,0,TL,1561677134,58,-8.93,125.41,72.67,3.04
Batamshinskiy,0,KZ,1561677134,57,50.56,58.27,51.8,6.71
Zelenoborskiy,19,RU,1561677135,95,66.84,32.36,40.5,3.44
Boquira,0,BR,1561677135,49,-12.82,-42.73,70.65,7.16
Talnakh,75,RU,1561677135,81,69.49,88.39,44.6,8.95
Saldanha,0,PT,1561677136,77,41.42,-6.55,63.99,2.75
Buraydah,0,SA,1561677136,17,26.33,43.97,95.0,9.17
Teofilo Otoni,11,BR,1561677136,89,-17.86,-41.51,65.79,5.28
Ancud,0,CL,1561677137,64,-41.87,-73.83,37.4,8.05
Cabo San Lucas,75,MX,1561677130,49,22.89,-109.91,96.01,20.8
Dubbo,0,AU,1561677137,87,-32.25,148.6,51.8,5.82
Santa Ana,0,MX,1561677137,18,30.54,-111.12,102.99,4.0
Udachnyy,75,RU,1561677138,77,66.42,112.4,60.8,6.71
Yeppoon,93,AU,1561677138,72,-23.13,150.74,66.2,10.29
Kamaishi,75,JP,1561677138,93,39.28,141.86,64.4,14.99
Klyuchi,61,RU,1561677139,86,52.25,79.17,56.3,9.71
Kikwit,60,CD,1561677139,50,-5.04,18.82,73.37,0.58
Kurchum,9,KZ,1561677139,61,48.57,83.65,61.04,7.58
Huarmey,12,PE,1561677140,88,-10.07,-78.15,63.45,17.34
Nagahama,75,JP,1561677140,94,35.49,136.29,77.0,2.24
Maniwaki,85,CA,1561677140,87,46.38,-75.98,61.52,3.91
Ponta do Sol,9,BR,1561677140,64,-20.63,-46.0,66.37,7.49
Pangoa,0,PE,1561677141,82,-12.12,-73.0,72.32,0.74
Port Alfred,0,ZA,1561677141,35,-33.59,26.89,66.0,5.01
Muros,0,ES,1561677142,87,42.77,-9.06,64.0,2.24
Vila Franca do Campo,20,PT,1561677142,77,37.72,-25.43,62.6,3.36
Saint George,0,GR,1561677142,60,39.45,22.34,77.0,3.13
Vostok,100,RU,1561677142,98,46.45,135.83,49.48,3.98
Verkhnyaya Sysert,20,RU,1561677143,100,56.44,60.75,42.8,4.36
Clyde River,20,CA,1561677143,49,70.47,-68.59,48.2,19.46
Poum,20,MK,1561677143,72,41.28,20.71,62.6,9.17
Kendari,16,ID,1561677144,78,-3.99,122.52,74.32,2.46
Voznesenye,100,RU,1561677144,86,61.02,35.48,49.91,2.62
Oranjemund,19,ZA,1561677144,86,-28.55,16.43,54.68,12.95
Datong,83,CN,1561677145,62,40.09,113.3,63.61,7.72
Rafai,100,CF,1561677145,99,4.95,23.92,67.43,2.75
Brownfield,40,US,1561677145,30,33.18,-102.27,93.2,16.11
Ormara,54,PK,1561677145,83,25.21,64.64,81.41,11.07
Namibe,99,AO,1561677146,80,-15.19,12.15,64.19,13.29
Puerto Maldonado,40,PE,1561677146,334,-12.59,-69.19,33.8,2.24
Teya,75,MX,1561677146,48,21.05,-89.07,87.8,11.41
Arman,29,RU,1561677147,44,59.7,150.17,64.49,3.49
Dunedin,50,NZ,1561677101,55,-45.87,170.5,55.0,3.0
Esso,68,RU,1561677147,58,55.93,158.7,48.83,2.89
Ornskoldsvik,44,SE,1561677147,46,63.29,18.72,53.6,6.93
Beringovskiy,85,RU,1561677148,64,63.05,179.32,51.39,8.14
Richards Bay,0,ZA,1561677148,62,-28.77,32.06,70.61,24.09
Ilulissat,75,GL,1561677148,69,69.22,-51.1,39.2,13.87
Kalmunai,100,LK,1561677149,75,7.42,81.82,75.8,2.91
Lorengau,79,PG,1561677149,79,-2.02,147.27,82.84,9.89
Bahia Blanca,50,AR,1561677149,55,-38.72,-62.27,48.49,14.29
Corn Island,100,NI,1561677150,79,12.17,-83.04,83.07,23.76
Caravelas,0,BR,1561677150,82,-17.73,-39.27,73.13,7.76
Binzhou,100,CN,1561677150,68,37.38,117.96,81.0,1.01
Nuevo Progreso,1,US,1561677151,49,26.05,-97.95,93.2,17.22
Jalu,0,LY,1561677151,44,29.03,21.55,82.31,10.25
Pokaran,0,IN,1561677151,54,26.93,71.92,86.38,19.28
Coihaique,20,CL,1561677151,86,-45.58,-72.07,30.2,0.83
Mbandaka,94,CD,1561677152,91,0.05,18.26,71.57,2.62
Bambous Virieux,20,MU,1561677152,78,-20.34,57.76,73.4,11.41
Bay Roberts,90,CA,1561676898,93,47.58,-53.28,55.0,3.36
Hofn,93,IS,1561677153,91,64.25,-15.21,46.3,3.6
Hokitika,90,NZ,1561677153,53,-42.72,170.96,49.18,1.05
Quatre Cocos,20,MU,1561677153,78,-20.21,57.76,73.4,11.41
Arraial do Cabo,32,BR,1561676933,90,-22.97,-42.02,72.94,5.86
Kutum,65,SD,1561677154,55,14.2,24.66,77.0,11.77
Axim,100,GH,1561677154,87,4.87,-2.24,76.9,10.51
Batagay-Alyta,83,RU,1561677154,41,67.8,130.41,67.28,4.23
Broome,4,GB,1561677155,87,52.47,1.45,57.0,5.82
Nioro,85,GM,1561677155,71,13.79,-15.05,79.56,16.89
Bitung,100,ID,1561677155,82,1.44,125.19,77.67,4.07
Qaanaaq,21,GL,1561677150,52,77.48,-69.36,43.11,4.12
Honiara,75,SB,1561677156,74,-9.43,159.96,86.0,8.05
Hualmay,17,PE,1561677156,86,-11.1,-77.61,63.14,16.73
Port Lincoln,58,AU,1561677156,65,-34.72,135.86,61.9,27.36
Langsa,19,ID,1561677157,91,4.47,97.97,68.22,2.89
Thompson,75,CA,1561677157,35,55.74,-97.86,71.6,4.7
Ishigaki,40,JP,1561677157,94,24.34,124.16,82.4,12.75
Mount Gambier,40,AU,1561677158,62,-37.83,140.78,57.2,17.22
Ngaoundere,100,CM,1561677158,96,7.32,13.58,64.69,2.62
Borogontsy,0,RU,1561677158,35,62.67,131.17,77.65,4.61
Nikolskoye,90,RU,1561677159,93,59.7,30.79,57.2,11.18
Rantepao,60,ID,1561677159,92,-2.97,119.9,64.1,2.55
Yellowknife,40,CA,1561677159,24,62.45,-114.38,62.6,10.29
Jasper,1,US,1561677160,100,33.83,-87.28,75.2,3.78
Carroll,0,AU,1561677160,76,-30.99,150.44,53.6,6.93
Chimbarongo,90,CL,1561677160,76,-34.71,-71.04,51.8,5.82
Ouadda,71,CF,1561677161,98,8.07,22.4,68.76,3.96
Provideniya,90,RU,1561677161,87,64.42,-173.23,51.8,2.24
Kodiak,1,US,1561677161,62,39.95,-94.76,89.6,14.99
Pevek,100,RU,1561677162,95,69.7,170.27,34.63,11.72
Kahului,20,US,1561677016,55,20.89,-156.47,87.8,6.93
Winnemucca,1,US,1561677162,12,40.97,-117.74,75.99,13.87
Georgetown,75,GY,1561677038,88,6.8,-58.16,78.8,6.93
Hamilton,40,CA,1561677002,35,43.26,-79.87,84.99,3.36
Cherskiy,100,RU,1561677140,79,68.75,161.3,49.72,11.7
Tucumcari,1,US,1561677163,19,35.17,-103.73,95.0,14.99
Tiksi,94,RU,1561677164,73,71.64,128.87,45.38,11.21
Maceio,40,BR,1561677164,78,-9.67,-35.74,73.4,2.24
Felipe Carrillo Puerto,2,MX,1561677164,45,19.58,-88.05,88.56,6.78
Buchanan,75,LR,1561677164,94,5.88,-10.05,77.0,11.1
Mumford,96,GH,1561677165,95,5.26,-0.76,72.63,4.32
Moose Factory,40,CA,1561677165,41,51.26,-80.61,75.2,10.29
Ayan,0,IR,1561677166,82,38.23,44.7,53.78,3.04
Athabasca,96,CA,1561677166,53,54.72,-113.29,67.23,8.01
Mahebourg,20,MU,1561676919,78,-20.41,57.7,73.4,11.41
Trinidad,75,BO,1561677167,88,-14.83,-64.9,69.8,2.8
Mkuranga,0,TZ,1561677167,96,-7.12,39.21,65.86,4.23
Kawalu,79,ID,1561677167,90,-7.38,108.21,66.78,3.24
Maine-Soroa,83,NE,1561677168,41,13.21,12.02,88.87,7.61
Caledonia,90,US,1561677079,83,42.81,-87.92,88.0,13.87
Hervey Bay,40,AU,1561677168,87,-25.3,152.85,71.01,8.05
Miranda,67,BR,1561677169,86,-20.24,-56.38,67.5,1.83
Havoysund,75,NO,1561677169,80,71.0,24.66,41.0,35.57
Nicoya,75,CR,1561677169,66,10.15,-85.45,84.2,16.11
Coromandel,18,BR,1561677170,59,-18.47,-47.2,68.13,5.17
Namuac,99,PH,1561677170,82,18.61,121.17,78.1,4.81
Uchaly,100,RU,1561677171,99,54.32,59.38,46.93,4.43
Bethel,40,US,1561677144,60,60.79,-161.76,71.6,3.36
Vardo,75,US,1561677172,65,39.62,-77.74,87.8,4.7
Zambezi,0,ZM,1561677172,53,-13.55,23.12,55.15,4.25
Harindanga,40,IN,1561677172,84,22.04,88.32,86.0,11.41
Rio Grande,0,BR,1561677173,100,-32.03,-52.1,53.6,6.93
Owando,83,CG,1561677173,73,-0.49,15.91,74.3,1.21
Trincomalee,72,LK,1561677173,72,8.58,81.23,79.81,10.83
Champerico,75,MX,1561677174,58,16.38,-93.6,86.0,14.99
Kavaratti,44,IN,1561677174,75,10.57,72.64,83.2,16.35
Songjianghe,76,CN,1561677174,53,42.18,127.48,75.76,3.71
Mabaruma,65,GY,1561677175,98,8.2,-59.78,73.85,2.59
Kupino,32,RU,1561677175,88,54.36,77.31,49.25,8.66
Soller,0,DE,1561677175,67,50.73,6.56,64.99,6.93
Nanakuli,75,US,1561677176,88,21.39,-158.15,84.0,10.29
Sinnamary,99,GF,1561677176,81,5.38,-52.96,81.13,16.28
Najran,0,SA,1561677176,13,17.54,44.22,89.6,3.36
Westport,20,US,1561677176,30,41.14,-73.36,89.01,6.93
Cap Malheureux,20,MU,1561677177,78,-19.98,57.61,73.4,11.41
Katsuura,75,JP,1561677177,100,33.93,134.5,77.0,2.24
Tadine,100,NC,1561677177,86,-21.55,167.88,71.24,14.54
Lompoc,1,US,1561677178,60,34.64,-120.46,77.0,16.11
Lotoshino,100,RU,1561677178,99,56.23,35.64,55.44,6.06
Sur,0,OM,1561677179,63,22.57,59.53,84.85,14.67
Batabano,40,CU,1561677179,55,22.72,-82.29,89.6,13.87
Juneau,20,US,1561677179,30,58.3,-134.42,80.6,18.34
Palizada,20,MX,1561677180,70,18.25,-92.09,87.8,11.41
Denpasar,20,ID,1561677056,88,-8.65,115.22,73.4,2.24
Kapuskasing,75,CA,1561677180,44,49.42,-82.43,78.8,11.41
Itarema,1,BR,1561677181,85,-2.92,-39.92,76.0,6.6
Tuatapere,64,NZ,1561677181,82,-46.13,167.69,48.0,5.99
Komsomolskiy,95,RU,1561677181,80,67.55,63.78,50.69,5.82
Ghanzi,16,BW,1561677181,40,-21.7,21.65,57.19,10.22
Svetlogorsk,75,RU,1561677182,76,53.14,59.15,53.6,2.24
Carmen,90,PH,1561677070,94,7.36,125.71,78.8,3.36
Half Moon Bay,1,US,1561677182,46,37.46,-122.43,73.4,14.99
Laguna,40,BZ,1561677182,66,16.17,-88.94,89.6,9.17
Shingu,75,JP,1561677183,88,33.72,135.99,77.0,4.7
Touros,75,BR,1561677183,94,-5.2,-35.46,77.0,4.7
Ponta Pora,0,BR,1561676905,88,-22.54,-55.73,66.2,13.87
Saint-Augustin,75,CA,1561677184,54,45.63,-73.98,82.4,10.29
Bartica,75,GY,1561677184,94,6.41,-58.62,78.8,4.7
Soyo,0,AO,1561677184,82,-6.13,12.37,72.83,14.03
Kudahuvadhoo,17,MV,1561677185,70,2.67,72.89,83.47,7.02
Manicore,1,BR,1561677185,71,-5.81,-61.3,77.81,1.9
Fairbanks,90,US,1561677092,37,64.84,-147.72,73.99,2.08
Wao,87,PH,1561677186,67,7.64,124.73,76.5,2.77
Asosa,84,ET,1561677186,89,10.07,34.53,65.0,3.78
Yumen,1,CN,1561677186,33,40.29,97.04,68.6,10.94
Impfondo,94,CD,1561677187,92,1.62,18.06,71.44,1.32
Zyryanka,85,RU,1561677187,34,65.73,150.89,63.18,21.34
Aloleng,97,PH,1561677187,72,16.13,119.78,84.47,13.71
Ripky,33,UA,1561677188,79,51.8,31.09,57.8,12.73
Saint Anthony,20,US,1561677188,24,43.97,-111.68,80.6,11.41
Yetkul,75,RU,1561677188,100,54.83,61.59,51.8,4.47
Cap-aux-Meules,90,CA,1561677189,93,47.38,-61.86,51.8,5.82
Balaghat,98,IN,1561677189,82,21.81,80.19,78.32,4.9
Pacific Grove,1,US,1561677189,63,36.62,-121.92,78.01,10.29
Calvinia,13,ZA,1561677190,95,-31.47,19.78,40.28,5.53
Sambava,0,MG,1561677190,89,-14.27,50.17,67.0,3.58
Kalemie,5,CD,1561677190,57,-5.95,29.2,64.87,1.68
Kavieng,100,PG,1561677162,76,-2.57,150.8,84.06,14.61
Yar-Sale,71,RU,1561677191,60,66.83,70.83,50.0,7.7
Phonhong,100,LA,1561677192,97,18.5,102.42,73.1,0.43
Ambon,0,FR,1561677184,78,47.55,-2.56,84.0,11.41
Nouadhibou,0,MR,1561677192,64,20.93,-17.03,71.6,20.8
Nanortalik,100,GL,1561677193,98,60.14,-45.24,38.11,3.4
Plouzane,5,FR,1561677193,88,48.38,-4.62,73.4,8.05
Milos,0,GR,1561677193,69,36.75,24.43,78.7,17.98
Almaznyy,0,RU,1561677193,82,48.03,40.04,68.0,8.95
Omboue,1,GA,1561677194,81,-1.57,9.26,74.65,15.97
Pisco,90,PE,1561677194,30,-13.71,-76.2,71.6,6.93
Hovd,75,NO,1561677194,100,63.83,10.7,51.01,16.11
Hare Bay,75,CA,1561677195,55,48.86,-53.99,66.2,8.05
Erdenet,100,MN,1561677195,95,49.03,104.04,47.5,10.18
Carahue,75,CL,1561677195,93,-38.71,-73.16,50.0,8.05
Polyarnyy,0,RU,1561677196,100,69.2,33.45,33.8,4.47
Manaure,0,CO,1561677196,66,11.78,-72.45,86.0,11.41
Mahibadhoo,21,MV,1561677196,74,3.78,72.97,83.5,7.27
Dogondoutchi,0,NE,1561677196,38,13.64,4.03,92.36,10.36
Songea,0,TZ,1561677197,86,-10.68,35.65,53.51,2.48
Wanning,0,AT,1561677197,40,48.64,13.53,69.8,2.24
Itoman,40,JP,1561677197,88,26.12,127.67,82.4,9.17
Tutoia,0,BR,1561677198,83,-2.76,-42.27,82.4,8.05
Medveditskiy,76,RU,1561677198,64,50.79,44.71,62.44,9.4
Sechura,13,PE,1561677198,86,-5.56,-80.82,66.01,14.05
Nelson Bay,20,AU,1561677198,93,-32.72,152.14,61.0,1.12
Camacha,20,PT,1561677199,72,33.08,-16.33,66.2,9.17
Lieksa,63,FI,1561677199,95,63.32,30.02,45.9,7.72
Lima,90,PE,1561677199,72,-12.06,-77.04,66.2,6.93
Hobyo,84,SO,1561677200,76,5.35,48.53,76.0,22.95
Udalguri,90,IN,1561677200,97,26.75,92.1,65.39,1.86
Adrar,0,DZ,1561677200,7,27.87,-0.29,98.6,10.29
Guerrero Negro,0,MX,1561677200,84,27.97,-114.04,64.62,17.31
Toora-Khem,18,RU,1561677201,81,52.47,96.11,55.13,2.46
Anadyr,40,RU,1561677201,76,64.73,177.51,51.8,17.9
Nieuwpoort,20,BE,1561677202,82,51.13,2.75,63.0,12.75
Tricase,5,IT,1561677202,78,39.93,18.36,80.6,11.41
Les Cayes,100,HT,1561677202,78,18.19,-73.75,81.92,15.93
Samarai,77,PG,1561677202,90,-10.62,150.67,78.21,7.58
Wewak,100,PG,1561677203,79,-3.55,143.63,81.11,2.8
Weligama,97,LK,1561677203,78,5.97,80.42,82.84,15.3
Vysokogornyy,100,RU,1561677203,41,50.1,139.13,61.85,3.85
Samarinda,72,ID,1561677204,90,-0.5,117.14,77.72,5.21
Klaipeda,0,LT,1561677070,87,55.72,21.12,53.6,4.7
Ituporanga,64,BR,1561677204,97,-27.41,-49.6,60.01,5.01
Neuruppin,0,DE,1561677205,67,52.92,12.81,64.0,6.93
Luderitz,0,NA,1561677205,93,-26.65,15.16,50.0,4.7
Bonnyville,75,CA,1561677205,38,54.27,-110.74,73.4,9.17
Santa Cecilia,75,CR,1561676932,61,9.85,-84.31,78.8,9.17
Anloga,93,GH,1561677206,90,5.79,0.9,74.92,8.1
Bathsheba,40,BB,1561677191,74,13.22,-59.52,82.4,19.46
Lagoa,0,PT,1561677206,56,37.14,-8.45,69.8,11.41
Nangka,75,MY,1561677207,88,6.78,116.79,75.2,9.17
Hazorasp,0,UZ,1561677207,43,41.32,61.08,73.4,4.7
Waddan,0,LY,1561677207,48,29.16,16.14,80.71,15.88
Faya,0,SA,1561677208,9,18.39,42.45,77.0,3.36
Ambilobe,0,MG,1561677208,91,-13.19,49.05,69.89,2.95
Cururupu,0,BR,1561677208,96,-1.82,-44.87,74.02,2.89
Rosarito,40,CO,1561677209,68,4.91,-75.23,87.8,8.05
Floro,73,NO,1561677209,76,61.6,5.03,50.0,6.93
Sawakin,43,SD,1561677209,15,19.1,37.33,87.46,5.64
Los Llanos de Aridane,75,ES,1561677210,73,28.66,-17.92,71.6,11.41
Chunoyar,0,RU,1561677210,47,57.45,97.32,71.5,3.31
Kondinskoye,98,RU,1561677210,72,59.65,67.41,49.68,1.97
Polczyn-Zdroj,17,PL,1561677211,81,53.76,16.1,64.99,8.1
Ust-Maya,36,RU,1561677211,38,60.42,134.54,74.36,9.24
Kozhva,56,RU,1561677211,65,65.11,57.05,52.15,4.72
Ranfurly,99,CA,1561677212,75,53.41,-111.68,66.85,12.97
Ozu,75,JP,1561677212,88,33.51,132.54,77.0,1.12
Sitka,12,US,1561677213,47,37.17,-99.65,91.99,17.0
Mandera,47,ET,1561677213,65,3.94,41.86,77.13,20.2
Dafeng,79,CN,1561677213,75,33.2,120.46,80.01,5.68
Whithorn,40,JM,1561677214,74,18.26,-78.04,84.0,3.36
Kungurtug,12,RU,1561677214,86,50.6,97.53,49.14,1.63
Xingyi,100,CN,1561677214,93,24.19,102.82,63.7,3.96
Gat,88,SN,1561677215,83,14.69,-16.54,77.0,5.82
Tasiilaq,100,GL,1561677215,93,65.61,-37.64,44.6,5.82
Walvis Bay,3,NA,1561677215,77,-22.95,14.51,59.0,6.93
Rome,0,IT,1561676995,53,41.89,12.48,80.01,4.7
Batemans Bay,17,AU,1561677216,86,-35.71,150.18,53.01,2.91
Iqaluit,40,CA,1561677216,62,63.75,-68.52,51.8,8.05
Sainte-Maxime,0,FR,1561677216,73,43.31,6.64,82.4,3.36
Falam,100,MM,1561677217,95,22.91,93.68,66.6,2.24
Orasac,20,RS,1561677217,78,43.06,22.07,71.6,8.05
Birjand,0,IR,1561677217,20,32.86,59.22,66.2,4.7
Braco do Norte,0,BR,1561677217,97,-28.27,-49.17,53.01,5.01
Cascais,0,PT,1561677208,82,38.7,-9.42,66.2,10.29
Karaton,20,ID,1561677218,74,-6.34,106.1,78.8,3.36
Puerto Narino,75,CO,1561677218,88,-3.77,-70.38,82.4,4.7
Port Hardy,75,CA,1561677218,82,50.7,-127.42,57.2,6.93
Smolenka,0,PL,1561677219,99,54.15,22.76,55.0,9.93
Norilsk,75,RU,1561677219,81,69.35,88.2,44.6,8.95
Sola,97,TZ,1561677219,74,-3.17,33.8,65.07,3.44
Mehamn,85,NO,1561677220,86,71.03,27.85,39.94,23.31
Hasaki,75,JP,1561677220,94,35.73,140.83,79.0,2.24
Huron,1,US,1561677220,62,44.36,-98.21,87.8,9.17
Saurimo,0,AO,1561677221,39,-9.66,20.4,60.71,4.99
